            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.59055E+01    0.14028E-06    0.14053E-06    0.14298E-06    0.14772E-06    0.15452E-06    0.16479E-06    0.18036E-06    0.20413E-06    0.24072E-06    0.29780E-06    0.38840E-06    0.53560E-06    0.78183E-06    0.12079E-05    0.19717E-05    0.33834E-05    0.60313E-05    0.10912E-04    0.19232E-04    0.30947E-04    0.41401E-04    0.40761E-04    0.25640E-04    0.89104E-05    0.14987E-05    0.11080E-06    0.35368E-08    0.53524E-10    0.43467E-12    0.20190E-14    0.55110E-17    0.89945E-20    0.88838E-23    0.53817E-26    0.19932E-29    0.46964E-33    0.64719E-37    0.64113E-41    0.33381E-45    0.17476E-49
     0.88360E+01    0.14789E-08    0.14903E-08    0.15828E-08    0.17613E-08    0.20209E-08    0.24192E-08    0.30373E-08    0.40123E-08    0.55856E-08    0.82020E-08    0.12726E-07    0.20931E-07    0.36661E-07    0.68702E-07    0.13817E-06    0.29795E-06    0.68352E-06    0.16373E-05    0.39521E-05    0.90593E-05    0.18041E-04    0.27689E-04    0.28401E-04    0.16765E-04    0.49568E-05    0.65668E-06    0.36897E-07    0.92269E-09    0.11729E-10    0.83769E-13    0.35011E-15    0.87353E-18    0.13196E-20    0.12195E-23    0.69541E-27    0.24653E-30    0.54176E-34    0.77564E-38    0.59093E-42    0.51139E-46
     0.13221E+02    0.17537E-11    0.18429E-11    0.25309E-11    0.38765E-11    0.59083E-11    0.91893E-11    0.14649E-10    0.24094E-10    0.41224E-10    0.74070E-10    0.14109E-09    0.28736E-09    0.63048E-09    0.14991E-08    0.38800E-08    0.10953E-07    0.33611E-07    0.11068E-06    0.38004E-06    0.12914E-05    0.39973E-05    0.10033E-04    0.17691E-04    0.18782E-04    0.10376E-04    0.26387E-05    0.28402E-06    0.12823E-07    0.26881E-09    0.30081E-11    0.19369E-13    0.73898E-16    0.16988E-18    0.23820E-21    0.20567E-24    0.11007E-27    0.36839E-31    0.76814E-35    0.10272E-38    0.82716E-43
     0.19781E+02    0.69655E-16    0.13611E-15    0.65106E-15    0.17683E-14    0.38318E-14    0.79953E-14    0.16805E-13    0.36358E-13    0.81987E-13    0.19437E-12    0.48838E-12    0.13116E-11    0.37999E-11    0.11983E-10    0.41467E-10    0.15841E-09    0.66932E-09    0.31090E-08    0.15563E-07    0.80466E-07    0.39897E-06    0.16973E-05    0.53648E-05    0.10731E-04    0.11639E-04    0.59996E-05    0.13291E-05    0.11983E-06    0.45521E-08    0.83523E-10    0.84330E-12    0.49619E-14    0.17425E-16    0.37079E-19    0.48336E-22    0.38945E-25    0.19523E-28    0.61224E-32    0.12094E-35    0.14958E-39
     0.29598E+02    0.15341E-22    0.15495E-20    0.17201E-19    0.10812E-18    0.47170E-18    0.16616E-17    0.53584E-17    0.16880E-16    0.53875E-16    0.17808E-15    0.61865E-15    0.22851E-14    0.90727E-14    0.39144E-13    0.18547E-12    0.97422E-12    0.57131E-11    0.37471E-10    0.27234E-09    0.21302E-08    0.16887E-07    0.12274E-06    0.70994E-06    0.27615E-05    0.61033E-05    0.66327E-05    0.31706E-05    0.61698E-06    0.47627E-07    0.15671E-08    0.25702E-10    0.23630E-12    0.12756E-14    0.41288E-17    0.81248E-20    0.98244E-23    0.73555E-26    0.34366E-29    0.10051E-32    0.18533E-36
     0.44285E+02    0.13792E-32    0.18625E-27    0.66898E-25    0.17678E-23    0.17570E-22    0.11611E-21    0.62522E-21    0.30637E-20    0.14563E-19    0.69848E-19    0.34673E-18    0.18128E-17    0.10115E-16    0.60965E-16    0.40180E-15    0.29333E-14    0.23990E-13    0.22113E-12    0.22915E-11    0.26250E-10    0.31890E-09    0.37974E-08    0.39134E-07    0.29527E-06    0.13536E-05    0.31842E-05    0.33791E-05    0.14791E-05    0.25259E-06    0.16826E-07    0.48454E-09    0.71266E-11    0.59465E-13    0.29277E-15    0.86696E-18    0.15646E-20    0.17381E-23    0.11985E-26    0.51515E-30    0.13941E-33
     0.66261E+02    0.10602E-47    0.94903E-38    0.69467E-31    0.10058E-28    0.25902E-27    0.33748E-26    0.31640E-25    0.25082E-24    0.18385E-23    0.13157E-22    0.95241E-22    0.71496E-21    0.56786E-20    0.48582E-19    0.45469E-18    0.47083E-17    0.54380E-16    0.70661E-15    0.10392E-13    0.17148E-12    0.30749E-11    0.56343E-10    0.95682E-09    0.13098E-07    0.12069E-06    0.61534E-06    0.14714E-05    0.14754E-05    0.57849E-06    0.85469E-07    0.48710E-08    0.12185E-09    0.15880E-11    0.11843E-13    0.52305E-16    0.13928E-18    0.22648E-21    0.22703E-24    0.14134E-27    0.55073E-31
     0.99142E+02    0.10000E-49    0.10005E-49    0.35345E-37    0.27145E-34    0.18319E-32    0.48016E-31    0.78873E-30    0.10108E-28    0.11407E-27    0.12236E-26    0.13141E-25    0.14624E-24    0.17188E-23    0.21493E-22    0.28752E-21    0.41827E-20    0.68068E-19    0.12649E-17    0.26774E-16    0.63687E-15    0.16654E-13    0.45546E-12    0.11969E-10    0.26952E-09    0.45064E-08    0.46804E-07    0.24804E-06    0.57153E-06    0.51931E-06    0.17622E-06    0.21859E-07    0.10383E-08    0.22033E-10    0.24800E-12    0.16089E-14    0.62012E-17    0.14443E-19    0.20572E-22    0.18096E-25    0.98928E-29
     0.14834E+03    0.10000E-49    0.10000E-49    0.10059E-43    0.38646E-40    0.63149E-38    0.32282E-36    0.95075E-35    0.21024E-33    0.39759E-32    0.68808E-31    0.11305E-29    0.18070E-28    0.28923E-27    0.48741E-26    0.92454E-25    0.20377E-23    0.50402E-22    0.13519E-20    0.40244E-19    0.13727E-17    0.52523E-16    0.21301E-14    0.84673E-13    0.29703E-11    0.81295E-10    0.15135E-08    0.16239E-07    0.83012E-07    0.17328E-06    0.13531E-06    0.37826E-07    0.37562E-08    0.14246E-09    0.24695E-11    0.23134E-13    0.12577E-15    0.40749E-18    0.79938E-21    0.96082E-24    0.71305E-27
     0.22195E+03    0.10000E-49    0.10000E-49    0.11307E-49    0.31415E-46    0.15826E-43    0.17935E-41    0.92396E-40    0.29712E-38    0.70898E-37    0.14249E-35    0.28462E-34    0.70411E-33    0.22530E-31    0.77438E-30    0.24779E-28    0.71974E-27    0.21007E-25    0.75481E-24    0.34668E-22    0.17844E-20    0.99183E-19    0.59082E-17    0.35211E-15    0.18886E-13    0.80856E-12    0.24429E-10    0.45956E-09    0.46421E-08    0.21073E-07    0.37077E-07    0.23284E-07    0.50217E-08    0.37424E-09    0.10720E-10    0.14501E-12    0.10819E-14    0.47156E-17    0.12285E-19    0.19414E-22    0.18793E-25
